scpi_source,total_capex,capex_actifs_directs,capex_sci,nb_actifs_total,nb_actifs_avec_capex,pct_actifs_avec_capex,nb_sci_total,nb_sci_avec_capex,capex_moyen_par_actif,capex_median_par_actif,capex_min,capex_max,capex_sur_vv_pct,capex_par_m2,capex_sur_loyers_pct,pct_renovation,pct_gros_entretien,pct_mise_conformite,pct_environnemental,pct_amelioration,pct_autres,surface_totale_concernee
ELIALYS,323194.0,0,0,2,0,0.0,2,0,0.0,0.0,0.0,0.0,,6.307578211908898,,0.0,0.0,0.0,0.0,0.0,0.0,0
ALTA CONVICTIONS,200.0,0,0,4,0,0.0,3,0,0.0,0.0,0.0,0.0,,0.014321518080916577,,0.0,0.0,0.0,0.0,0.0,0.0,0
EUROVALYS,6000000.0,0,0,2,0,0.0,1,0,0.0,0.0,0.0,0.0,,480.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
ALLIANZ PIERRE,796137.58,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0603657698479113,,,0.0,0.0,0.0,0.0,0.0,0.0,0
FICOMMERCE PROXIMITE,2532.0,0,0,210,0,0.0,0,0,0.0,0.0,0.0,0.0,,0.8953323903818954,0.07010150803571205,0.0,0.0,0.0,0.0,0.0,0.0,0
pierre selection,4.5,0,0,5,0,0.0,0,0,0.0,0.0,0.0,0.0,1.9780219780219779,,,0.0,0.0,0.0,0.0,0.0,0.0,0
BUROBOUTIC METROPOLE,0.0,0,0,118,0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CRISTAL LIFE,160528284.0,0,0,2,0,0.0,1,0,0.0,0.0,0.0,0.0,,1804.4793111588224,,0.0,0.0,0.0,0.0,0.0,0.0,0
EDMOND DE ROTHSCHILD EUROPA,558695.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,94.10392454101398,,0.0,0.0,0.0,0.0,0.0,0.0,0
rivoli avenir patrimoine,0.0,0,0,36,0,0.0,49,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
ELYSEES GRAND LARGE,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
ACCES VALEUR PIERRE,45.0,0,0,12,0,0.0,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
Eden,0.0,0,0,2,0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
ELYSEES PIERRE,1055.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0019011338326137257,,0.0,0.0,0.0,0.0,0.0,0.0,0
lf croissance et territoires,200.0,0,0,72,0,0.0,2,0,0.0,0.0,0.0,0.0,,0.003956870115738451,,0.0,0.0,0.0,0.0,0.0,0.0,0
ALLIANZ HOME,5960.71,0,0,3,0,0.0,0,0,0.0,0.0,0.0,0.0,0.024304627930682977,1.177540497826946,,0.0,0.0,0.0,0.0,0.0,0.0,0
CAPIFORCE,169.0,0,0,89,0,0.0,0,0,0.0,0.0,0.0,0.0,,0.022837837837837837,0.0021280689685343143,0.0,0.0,0.0,0.0,0.0,0.0,0
COMETE,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
EFIMMO 1,932536.0,0,0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,,14.208340316609023,,0.0,0.0,0.0,0.0,0.0,0.0,0
ACCIMMO PIERRE,217.0,0,0,5,0,0.0,8,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0
ACTIVIMMO,0.0,0,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
RIVOLI AVENIR PATRIMOINE,0.0,0,0,36,0,0.0,49,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
CRISTAL RENTE,19000.0,0,0,2,0,0.0,0,0,0.0,0.0,0.0,0.0,,0.04575611988103409,,0.0,0.0,0.0,0.0,0.0,0.0,0
aestiam placement pierre,343901608.0,0,0,115,0,0.0,0,0,0.0,0.0,0.0,0.0,,343901.608,,0.0,0.0,0.0,0.0,0.0,0.0,0
ALTIXIA CADENCE XII,0.0,0,0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
ALTIXIA COMMERCES,0.0,0,0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0
ATOUT PIERRE DIVERSIFICATION,7080000.0,0,0,0,0,0.0,6,0,0.0,0.0,0.0,0.0,,15.391304347826088,,0.0,0.0,0.0,0.0,0.0,0.0,0
