scpi_source,total_capex,capex_actifs_directs,capex_sci,nb_actifs_total,nb_actifs_avec_capex,pct_actifs_avec_capex,nb_sci_total,nb_sci_avec_capex,capex_moyen_par_actif,capex_median_par_actif,capex_min,capex_max,capex_sur_vv_pct,capex_par_m2,pct_renovation,pct_gros_entretien,pct_mise_conformite,pct_environnemental,pct_amelioration,pct_autres,surface_totale_concernee
lf croissance et territoires rapport annuel 2024,0.0,0.0,0.0,72,0,0.0,2,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELYSEES PIERRE,760.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRISTAL LIFE,0.0,0.0,0.0,2,0,0.0,2,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPIFORCE,367.0,0.0,0.0,89,0,0.0,0,0,0.0,0.0,0.0,0.0,,0.10778267254038179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aestiam placement pierre rapport annuel 2024,343901608.0,0.0,0.0,115,0,0.0,0,0,0.0,0.0,0.0,0.0,,2075.5098705452788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FICOMMERCE PROXIMITE,2532.0,0.0,0.0,210,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDMOND DE ROTHSCHILD EUROPA,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATOUT PIERRE DIVERSIFICATION,0.0,0.0,0.0,0,0,0.0,6,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rivoli avenir patrimoine rapport annuel 2024,0.0,0.0,0.0,36,0,0.0,49,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELYSEES GRAND LARGE,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMETE,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTIXIA COMMERCES,0.0,0.0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROVALYS,6000000.0,0.0,0.0,2,0,0.0,1,0,0.0,0.0,0.0,0.0,,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTIXIA CADENCE XII,0.0,0.0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eden
SCPI 
Eden
Rapport annuel",0.0,0.0,0.0,2,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pierre selection rapport annuel 2024,4.5,0.0,0.0,5,0,0.0,0,0,0.0,0.0,0.0,0.0,1.775147928994083e-06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFIMMO 1,24846002.0,0.0,0.0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,,378.55959654442125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIVOLI AVENIR PATRIMOINE AN 2,0.0,0.0,0.0,36,0,0.0,49,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLIANZ PIERRE,796137.58,0.0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRISTAL RENTE,118721.0,0.0,0.0,2,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELIALYS,323194.0,0.0,0.0,2,0,0.0,2,0,0.0,0.0,0.0,0.0,,748.1342592592592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCIMMO PIERRE,66.0,0.0,0.0,5,0,0.0,8,0,0.0,0.0,0.0,0.0,2.370689655172414e-06,7.852861178071955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUROBOUTIC METROPOLE,2078.0,0.0,0.0,118,0,0.0,0,0,0.0,0.0,0.0,0.0,,0.17972669088393012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTA CONVICTIONS,0.0,0.0,0.0,4,0,0.0,3,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTIVIMMO,0.0,0.0,0.0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALLIANZ HOME,5960.71,0.0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCES VALEUR PIERRE,10.2,0.0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,0.0,5.762776980530852e-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
