scpi_source,categorie,test_id,description,valeur_testee,valeur_reference,ecart_pct,statut,commentaire,severite
lf croissance et territoires,CAPEX,CAP-002,CAPEX par m² (benchmark 30-250 €/m²),0.00 €/m²,30.0-250.0 €/m²,,ALERTE,CAPEX faible - risque de sous-investissement,Warning
lf croissance et territoires,CAPEX,CAP-003,Taux d'actifs avec CAPEX,0.0%,Information,,INFO,,Info
lf croissance et territoires,REPARTITION,REP-001,Somme répartition géographique = 100%,116.2%,100%,16.200000000000003,ALERTE,,Warning
lf croissance et territoires,REPARTITION,REP-002,Somme répartition typologique = 100%,81.2%,100%,18.84999999999998,ALERTE,,Warning
lf croissance et territoires,PATRIMOINE,PAT-001,Cohérence nb actifs déclaré vs détail,2,72 (détail),3500.0,ALERTE,,Warning
ELYSEES PIERRE,CAPEX,CAP-002,CAPEX par m² (benchmark 30-250 €/m²),0.00 €/m²,30.0-250.0 €/m²,,ALERTE,CAPEX faible - risque de sous-investissement,Warning
ELYSEES PIERRE,OCCUPATION,OCC-001,TOF dans plage acceptable,87.75%,≥ 80%,,OK,,Info
ELYSEES PIERRE,REPARTITION,REP-001,Somme répartition géographique = 100%,118.0%,100%,18.0,ALERTE,,Warning
ELYSEES PIERRE,REPARTITION,REP-002,Somme répartition typologique = 100%,188.0%,100%,88.0,ALERTE,,Warning
CRISTAL LIFE,CAPEX,CAP-002,CAPEX par m² (benchmark 30-250 €/m²),1804.48 €/m²,30.0-250.0 €/m²,,ALERTE,CAPEX élevé - travaux majeurs en cours,Warning
CRISTAL LIFE,CAPEX,CAP-003,Taux d'actifs avec CAPEX,0.0%,Information,,INFO,,Info
CRISTAL LIFE,VALORISATION,VAL-001,Écart prix souscription vs valeur reconstitution,"89,084,413.00 €","5,648,405.68 €",1477.160318992897,ALERTE,,Warning
CRISTAL LIFE,REPARTITION,REP-001,Somme répartition géographique = 100%,46.1%,100%,53.879999999999995,ALERTE,,Warning
CRISTAL LIFE,REPARTITION,REP-002,Somme répartition typologique = 100%,92.7%,100%,7.259999999999991,ALERTE,,Warning
CRISTAL LIFE,PATRIMOINE,PAT-001,Cohérence nb actifs déclaré vs détail,31,2 (détail),93.54838709677419,ALERTE,,Warning
CAPIFORCE,CAPEX,CAP-002,CAPEX par m² (benchmark 30-250 €/m²),0.02 €/m²,30.0-250.0 €/m²,,ALERTE,CAPEX faible - risque de sous-investissement,Warning
CAPIFORCE,CAPEX,CAP-003,Taux d'actifs avec CAPEX,0.0%,Information,,INFO,,Info
CAPIFORCE,OCCUPATION,OCC-001,TOF dans plage acceptable,97.38%,≥ 80%,,OK,,Info
CAPIFORCE,ENDETTEMENT,END-001,LTV vs seuil réglementaire (50%),8.16%,< 50.0%,,OK,,Info
CAPIFORCE,REPARTITION,REP-001,Somme répartition géographique = 100%,110.0%,100%,10.0,ALERTE,,Warning
CAPIFORCE,REPARTITION,REP-002,Somme répartition typologique = 100%,44.1%,100%,55.9,ALERTE,,Warning
CAPIFORCE,PATRIMOINE,PAT-001,Cohérence nb actifs déclaré vs détail,90,89 (détail),1.1111111111111112,OK,,Info
aestiam placement pierre,CAPEX,CAP-002,CAPEX par m² (benchmark 30-250 €/m²),343901.61 €/m²,30.0-250.0 €/m²,,ALERTE,CAPEX élevé - travaux majeurs en cours,Warning
aestiam placement pierre,CAPEX,CAP-003,Taux d'actifs avec CAPEX,0.0%,Information,,INFO,,Info
aestiam placement pierre,VALORISATION,VAL-001,Écart prix souscription vs valeur reconstitution,350.00 €,0.00 €,109261565.32582462,ALERTE,,Warning
