source_pdf,date_extraction,qualite_extraction,nb_indicateurs_extraits,nom_scpi,societe_gestion,type_scpi,visa_amf,date_creation,capital_nominal,capital_statutaire_max,nombre_parts,nombre_associes,capitalisation,valeur_nominale,prix_souscription,prix_retrait,prime_emission,valeur_realisation,valeur_realisation_par_part,valeur_reconstitution,valeur_reconstitution_par_part,valeur_venale_patrimoine,valeur_ifi_resident,valeur_ifi_non_resident,ecart_prix_reconstitution,taux_distribution,dividende_brut,dividende_exceptionnel,report_a_nouveau,report_a_nouveau_par_part,tri_5_ans,tri_10_ans,tri_15_ans,tri_20_ans,rendement_global_immobilier,tof_annuel,tof_t1,tof_t2,tof_t3,tof_t4,top_annuel,surface_vacante,surface_vacante_pct,nombre_actifs,nombre_actifs_direct,nombre_actifs_indirect,surface_totale,prix_moyen_m2,pct_bureaux,pct_commerces,pct_logistique,pct_activites,pct_sante,pct_residentiel,pct_hotellerie,pct_enseignement,pct_autres,pct_paris,pct_idf_hors_paris,pct_regions,pct_etranger,pct_france,nb_acquisitions,montant_acquisitions,nb_cessions,montant_cessions,plus_value_cessions,moins_value_cessions,collecte_brute,collecte_nette,parts_en_attente_retrait,montant_attente_retrait,delai_jouissance,ratio_endettement_ltv,emprunts_bancaires,dettes_financieres,tresorerie,endettement_net,loyers_quittances,produits_locatifs,produits_financiers,charges_immobilieres,resultat_immobilier,resultat_net,resultat_par_part,benefice_comptable,revenus_fonciers_par_part,revenus_financiers_par_part,commission_souscription_pct,commission_gestion_pct,commission_arbitrage_pct,commission_souscription_montant,commission_gestion_montant,provision_gros_entretien,total_travaux,travaux_amelioration,travaux_gros_entretien,travaux_renovation,travaux_mise_conformite,travaux_environnementaux,capex_par_m2,ratio_capex_valeur_venale
France SCPI - lf-croissance-et-territoires-rapport-annuel-2024.pdf,2026-01-13 11:39:34,Excellente,29,lf croissance et territoires,La Française,Bureaux,24-05,,,,31.0,,110700000.0,,,,,,,,,,,,,6.25,,,,,,,,,1.47,,,,,,,,9.3,2.0,,,50545.0,,62.7,4.25,4.9,,4.65,,,4.65,,4.2,56.0,56.0,,,90.0,,96.0,,,,,,17159.0,,,,,,,,,,,,,,,,,,9.0,9.0,,,9963000.0,,200.0,,,,,,0.003956870115738451,
ELYSEES_PIERRE_RA_2024.pdf,2026-01-13 11:39:34,Excellente,39,ELYSEES PIERRE,HSBC REIM,Bureaux,,,1010212460.0,,0.0,1583615632.0,,305.0,660.0,611.0,,,,,,,,,,,,,,,,,,,,87.75,,,,,,,10.0,5.0,,,554932.0,,27.0,23.0,105.0,7.0,,,25.0,,1.0,18.0,50.0,50.0,0.0,100.0,,,2024.0,10.0,2.03,,,,40097.0,24.9,,,,,,,,,,56239.0,,26.22,26.22,86562476.88,,,6.0,8.5,,39.6,,,1055.0,,2235.0,,,,0.0019011338326137257,
CRISTAL_LIFE_RA_2024.pdf,2026-01-13 11:39:36,Excellente,50,CRISTAL LIFE,Inter Gestion REIM,Bureaux,24-01,,760050.0,,31.0,,,150.0,89084413.0,,,183895608.0,5932116.387096774,175100576.0,5648405.677419355,0.0,,,1477.160318992897,5.37,,,0.24,0.007741935483870968,,,,,,,,,,,,,0.48,31.0,,,88961.0,,7.2,7.2,,24.57,8.2,,24.57,20.0,1.0,,24.57,21.55,,,9.0,89.0,,,14984473.0,78796.0,89084413.0,,,,,,5580000.0,5619576.0,10000.0,5570000.0,,,0.54,2.15,,20247058992.0,,7058992.0,,,12.0,13.2,,10690129.56,,205702.0,160528284.0,,205702.0,,,,1804.4793111588224,
CAPIFORCE_RA_2024.pdf,2026-01-13 11:39:36,Excellente,43,CAPIFORCE,,Bureaux,,9 décembre 1982,,,377131.0,,,153.0,,,,255.94,0.0006786501242273905,300.18,0.0007959568425825509,,,,,6.83,,,9.49,2.5163669918410313e-05,,,,,,97.38,,,,,,,9.5,90.0,,,7400.0,,19.2,7.5,,10.4,,,,6.0,1.0,29.5,20.4,50.1,10.0,,,,,,15.0,,,,4344.0,,,8.16,,,,,7941471.94,,0.56,111.0,,16.22,,9614960.42,,,8.0,8.5,,,,,169.0,343.0,569.0,45.0,169.0,,0.022837837837837837,
France SCPI - aestiam-placement-pierre-rapport-annuel-2024.pdf,2026-01-13 11:39:37,Excellente,50,aestiam placement pierre,,Bureaux,19-01,22 Avril 1986,38205764.0,231030000.0,1086498.0,,,153.0,350.0,315.0,,313606260.0,288.6395188946505,348.04,0.0003203319288208538,,,,109261565.32582462,5.0,18.9,,4.3,3.957669503303274e-06,,6.8,7.14,9.78,,90.4,,,,,,,10.2,150.0,,,1000.0,,4.0,16.0,,56.0,,,6.3,3.0,1.0,5.4,4.0,2.0,4.8,,,,4.0,4.7,1.32,,,,1000.0,,,,,,,,,,,,,,,,,,10.0,9.5,,35.0,,2061600.0,343901608.0,81.0,2061600.0,,,,343901.608,
FICOMMERCE_PROXIMITE_RA_2024.pdf,2026-01-13 11:39:37,Excellente,43,FICOMMERCE PROXIMITE,,Bureaux,,15 mai 1986,,,2856375.0,,,153.0,210.0,,,175.18,6.132948229836769e-05,209.27,7.326418975099558e-05,,,,286633794.0125197,5.07,,,2.43,8.507286333202049e-07,,,,6.86,,96.22,,,,,,,9.5,148.0,,,2828.0,,15.8,6.86,,0.1,98.0,,,9.3,1.0,25.8,46.0,51.8,10.0,,,,,,,,763980.0,,,,,,,,,,3611905.18,,0.32,,,10.65,,37512631.68,,,10.0,9.3,,21.0,,,2532.0,,292.0,,408.0,,0.8953323903818954,
EDMOND_DE_ROTHSCHILD_EUROPA_RA_2024.pdf,2026-01-13 11:39:38,Excellente,31,EDMOND DE ROTHSCHILD EUROPA,EDMOND DE ROTHSCHILD REIM,Logistique/Activités,,,900000.0,,96973.0,,,,,180.0,,169.6,0.001748940426716715,210.81,0.002173904076392398,,141.28,,,8.0,,,,,,,,,,,,,,,,,,3.0,,,5937.0,,,,39.0,69.0,,,,10.5,1.0,,,,,,6.0,5.7,,,,,,18187420.0,,,,,,,,,,,44195.0,558695.0,,50107.0,,,,,10.0,10.5,,,,,558695.0,,558695.0,,,,94.10392454101398,
ATOUT PIERRE DIVERSIFICATION Rapport annuel 2024.pdf,2026-01-13 11:39:39,Excellente,53,ATOUT PIERRE DIVERSIFICATION,AEW Patrimoine,Bureaux,,18 novembre 1987,152449.02,,1042362.0,,,460.0,817.0,,,652.16,0.0006256559621321575,758.78,0.0007279428835663618,,,,112233980.23405994,4.49,36.7,,0.46,4.41305419806171e-07,,,,,,87.74,,,,,,,9.27,3.0,,,460000.0,,49.0,52.0,36.0,5.5,38.0,15.0,5.0,,1.0,4.25,9.27,5.4,10.0,,2024.0,,3.0,25.7,1.8,1249220.4,12763174.0,,472.0,,,,50.0,,,,,43490110.0,,,,9.0,34.58,,36.7,,7.75,7.7,,63.3175,,,7080000.0,,608000.0,,,,15.391304347826088,
France SCPI - rivoli-avenir-patrimoine-rapport-annuel-2024.pdf,2026-01-13 11:39:39,Excellente,60,rivoli avenir patrimoine,Amundi,Bureaux,,2024,,,633164.0,3.4126354273670137e+24,3217000000.0,150.0,250.0,230.02,,2485867374.05,3926.1034645842155,230.95,0.00036475541881724166,2913382527.78,,,68538977.72245075,3.89,10.42,,2.29,3.616756480153641e-06,,3.39,,,4.95,88.85,,,,,,,7.3,5.0,,,604298.0,4821.10238289718,79.3,13.7,3.0,88.85,40.0,27.0,3.3,40.0,1.0,45.3,23.6,10.8,20.3,,9.0,,,12.6,15000.0,135600.0,243.0,,1.2884453129318481e+23,1264268338752.0,,,,,,,,8208098.0,8208098.0,,,9.03,8.86,161963199.68,,10.25,10.0,5.25,1.25,25.0,168892500.0,,,,,,,,,
ELYSEES_GRAND_LARGE_RA_2024.pdf,2026-01-13 11:39:40,Excellente,25,ELYSEES GRAND LARGE,HSBC REIM,Bureaux,,22 juillet 2024,12000000.0,,31.0,16.0,,150.0,250.0,,,10189512.88,328693.9638709678,11321680.98,365215.515483871,,,,-99.93154726746239,,,,,,,,,,,,,,,,,,,,,,,,10.0,,26.0,26.0,,,70.0,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,0.0,,0.9,0.9,,,,10.0,,,25.0,,,0.0,,,,,,,
