source_pdf,date_extraction,qualite_extraction,nb_indicateurs_extraits,nom_scpi,societe_gestion,type_scpi,visa_amf,date_creation,capital_nominal,nombre_parts,nombre_associes,capitalisation,valeur_nominale,prix_souscription,prix_retrait,valeur_realisation,valeur_reconstitution,valeur_venale_patrimoine,valeur_ifi_resident,ecart_prix_reconstitution,taux_distribution,dividende_brut,tri_5_ans,tri_10_ans,tri_15_ans,tri_20_ans,rendement_global_immobilier,tof_annuel,top_annuel,surface_vacante,nombre_actifs,surface_totale,prix_moyen_m2,pct_bureaux,pct_commerces,pct_logistique,pct_activites,pct_sante,pct_residentiel,pct_hotellerie,pct_enseignement,pct_paris,pct_idf_hors_paris,pct_regions,pct_etranger,pct_france,nb_acquisitions,montant_acquisitions,montant_cessions,plus_value_cessions,collecte_brute,collecte_nette,delai_jouissance,ratio_endettement_ltv,emprunts_bancaires,tresorerie,endettement_net,loyers_quittances,resultat_net,resultat_par_part,commission_souscription_pct,commission_gestion_pct,commission_arbitrage_pct,commission_souscription_montant,provision_gros_entretien,total_travaux,capex_par_m2,ratio_capex_valeur_venale
France SCPI - lf-croissance-et-territoires-rapport-annuel-2024.pdf,2026-01-13 11:55:04,Bonne,24,lf croissance et territoires rapport annuel 2024,La Française,Diversifiée,,,,441186,2707,110737686.0,,,,,,,,,6.25,,,,,,1.47,89.1,,,,,,62.7,4.25,4.9,,4.65,,,4.65,4.2,56.0,5.6,4.1,56.0,90.0,,,,,,,,,,,,,,9.0,9.0,,,,,,
ELYSEES_PIERRE_RA_2024.pdf,2026-01-13 11:55:25,Bonne,29,ELYSEES PIERRE,BNP Paribas Real Estate,Logistique/Activités,,,1010212460.0,3312172,15836,13602388205551.1,305.0,660.0,,,,,,,,,,,,,,87.75,,,125.0,,,27.0,23.0,,7.0,,,25.0,,14.15,11.0,50.0,,11.0,4.0,,10000000.0,2.03,,,,,,,,,26220000.0,26.22,6.0,,,39.6,,760.0,,
CRISTAL_LIFE_RA_2024.pdf,2026-01-13 11:56:08,Bonne,27,CRISTAL LIFE,BNP Paribas Real Estate,Diversifiée,24-01,,760050.0,2024,6820,204283228.0,150.0,206.0,,,,,,,5.37,,,,,,,,,,31.0,1000.0,,,41.92,,24.57,8.2,,17.1,,,,21.55,,14.6,9.0,89000000.0,,,,,,,5580000.0,13415361.0,-7835361.0,,,,,,,,205702.0,,,
CAPIFORCE_RA_2024.pdf,2026-01-13 11:56:52,Très bonne,31,CAPIFORCE,Fiducial Gérance,Diversifiée,23-11,,,377131,2024,,153.0,,,255.94,300.18,,,,6.83,15.0,,,,,,97.38,,,90.0,3405.0,,19.2,70.2,,10.4,,0.2,,,29.5,20.4,50.1,85.0,20.4,,,,,,,,8.16,,,,7941471.94,16219999.999999998,,,8.5,,,,367.0,0.10778267254038179,
France SCPI - aestiam-placement-pierre-rapport-annuel-2024.pdf,2026-01-13 11:57:24,Excellente,41,aestiam placement pierre rapport annuel 2024,Aestiam,Diversifiée,19-01,,38205764.0,1086498,3515,380274300.0,229.0,350.0,315.0,,348.04,,,0.5631536604987873,5.4,18.9,,6.8,7.14,9.78,,90.4,,,,165695.0,,10.2,16.0,,16.0,,,18.0,3.0,5.4,10.2,2.0,4.8,1.2,4.0,,2000000.0,1792722.0,,,,,,,,,,,10.0,9.5,,35.0,2061600.0,343901608.0,2075.5098705452788,
FICOMMERCE_PROXIMITE_RA_2024.pdf,2026-01-13 11:58:23,Très bonne,30,FICOMMERCE PROXIMITE,Fiducial Gérance,Logistique/Activités,17-25,,,2856375,19,599838750.0,153.0,210.0,,175.18,209.27,,,0.3488316528886079,5.07,,,,,,,96.22,,,5.0,,,15.8,,0.1,0.1,98.0,,,,25.8,2.04,51.8,,19.9,14.0,,,,800000.0,,,,,,,,10650000.0,,,9.3,,,,2532.0,,
EDMOND_DE_ROTHSCHILD_EUROPA_RA_2024.pdf,2026-01-13 11:58:38,Bonne,26,EDMOND DE ROTHSCHILD EUROPA,EDMOND DE ROTHSCHILD REIM,Logistique/Activités,,,900000.0,96973,401,19394600.0,,,180.0,169.6,210.81,,141.28,,8.0,4.03,,,,,,100.0,100.0,,3.0,13682.0,,,,39.0,69.0,,,,,,,,,,6.0,5700000.0,,,,,,,,,,,50107000000.0,,5.0,10.5,,,,,,
ATOUT PIERRE DIVERSIFICATION Rapport annuel 2024.pdf,2026-01-13 11:59:06,Excellente,41,ATOUT PIERRE DIVERSIFICATION,AEW Patrimoine,Diversifiée,,,479486520.0,1042362,546,851609754.0,460.0,817.0,,652.16,758.78,712400000.0,,7.6728432483723905,4.72,2.92,,,,,12.0,87.74,,,,16778.0,42460.36476338062,49.0,52.0,,5.5,8.0,15.0,5.0,,4.25,9.27,20.0,,9.27,1.0,,,1.8,12763174.0,,,20.0,50000000.0,,,,9000000.0,34.58,7.75,7.7,,63.3175,,,,
France SCPI - rivoli-avenir-patrimoine-rapport-annuel-2024.pdf,2026-01-13 12:00:05,Très bonne,39,rivoli avenir patrimoine rapport annuel 2024,Amundi,Diversifiée,,2002,,2024,92,3217000000.0,150.0,250.0,230.02,,230.95,114500000.0,,8.248538644728301,3.89,10.42,,,,,4.95,88.85,,,2.0,32311.0,3543.6848132215036,2.0,0.8,14.0,,,27.0,10.0,,6.0,10.0,4.3,,10.0,9.0,,,50000.0,243000000.0,,,40.0,,,,,9030000.0,8.86,,5.25,1.25,,,,,
ELYSEES_GRAND_LARGE_RA_2024.pdf,2026-01-13 12:00:14,Moyenne,16,ELYSEES GRAND LARGE,BNP Paribas Real Estate,Diversifiée,,,,24978,16,10144125.0,150.0,250.0,,,,,,,,,,,,,,,,,,,,,,,26.0,,,13.0,,,,,,,,,,,,,,,,,,,900000.0,0.9,10.0,,,25.0,,,,
