scpi_source,id_actif,nom_actif,adresse,ville,code_postal,pays,region,type_actif,date_acquisition,surface_m2,nb_lots,quote_part_pct,valeur_venale,prix_acquisition,loyer_annuel,taux_occupation,nb_locataires,date_fin_bail_principale,travaux_total,travaux_renovation,travaux_gros_entretien,travaux_mise_conformite,travaux_environnementaux,travaux_amelioration,travaux_autres,annee_travaux,description_travaux,statut_travaux
lf croissance et territoires,,,141 rue de Verdun,"ISSY-LES-MOULINEAUX
BUR",92130,France,,,31/12/2023,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,6 place Charles Hernu,"VILLEURBANNE
BUR",69100,France,,,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,10 rue Émile Zola,"ORLÉANS
BUR",45000,France,,,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,23 rue du Bec,"ROUEN
COM",76000,France,,,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,15 boulevard Marcel Paul,"SAINT-HERBLAIN
BUR",44800,France,,Activités,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,10 allée de Longchamp,"VILLERS-LÈS-NANCY
BUR",54600,France,,,,107.0,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,72 rue des Sureaux,"SAINGHIN-EN-MÉLANTOIS
BUR",59262,France,,,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,3 avenue de Béguines,"CERGY
BUR",95800,France,,,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,1 rue de Chazelles,"PARIS
BUR",75017,France,,,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,1 rue Michael Faraday,"SAINT-HERBLAIN
BUR",44800,France,,,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,40 place du Colombier,"RENNES
COM",35000,France,,,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,3 rue de la Coopérative,"STRASBOURG
BUR",67000,France,,Bureaux,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,5 rue de la Galmy,"CHESSY
BUR",77000,France,,Bureaux,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,3 place Magellan,"SAINT-HERBLAIN
BUR",44800,France,,Bureaux,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,3 rue Nationale,"BOULOGNE-BILLANCOURT
BUR",92100,France,,,,145.0,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,90 rue Horace,VILLENEUVE-D,59650,France,,,,491.0,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,24 rue Carl Hack,"MULHOUSE
BUR",68100,France,,Activités,,491.0,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,29 place Jourdan,"LIMOGES
BUR",87000,France,,Activités,,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,10 rue du Golf,"MÉRIGNAC
BUR",33700,France,,,30/09/2025,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,1 avenue de l'Europe,TOULOUSE,31400,France,,,19/09/1988,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,4 voie Romaine,PESSAC,33600,France,,,27/12/2019,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,35 avenue de la Marne,MÉRIGNAC,33700,France,,,02/03/1999,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,7 allée Colette Duval,TOURS,37000,France,,,31/12/1991,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,30 rue Chevreul,NANTES,44000,France,,,02/10/2014,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,4 allée de l'île Tabor,NANTES,44200,France,,,03/07/2018,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,7 boulevard Ampère,CARQUEFOU,44470,France,,,16/06/2008,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,1 avenue des Lions,SAINT-HERBLAIN,44800,France,,Activités,19/06/2015,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lf croissance et territoires,,,13 impasse Serge Reggiani,SAINT-HERBLAIN,44800,France,,Activités,28/06/2018,,,100.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
