scpi_source,nom_sci,type_structure,affectation,date_acquisition,date_constitution,quote_part_detention,nombre_immeubles,surface_m2,valeur_venale_hd,droits,prix_acquisition,travaux,valeur_nette_comptable,valeur_estimee,ecart_acquisition,immeubles,dettes
lf croissance et territoires,FRESH INVEST REAL ESTATE,OPPCI,,,,,,,,,,,,,,,
lf croissance et territoires,LF HYDE PARK,SCI,,,,,,,,,,,,,,,
CRISTAL LIFE,ONE,SCI,,,,,,,,,,,,,,,
ATOUT PIERRE DIVERSIFICATION,PLACEMENT CILOGER,SCI,,,,,,,,,,,,,,,
ATOUT PIERRE DIVERSIFICATION,"PLACEMENT 
CILOGER",SCI,,,,,,,,,,,,,,,
ATOUT PIERRE DIVERSIFICATION,"BOULOGNE 
CLARITY
SCI",SCI,,,,,,,,,,,,,,,
ATOUT PIERRE DIVERSIFICATION,"BOULOGNE  
CLARITY
SCI",SCI,,,,,,,3778000.0,,,,,,,,
ATOUT PIERRE DIVERSIFICATION,"PLACEMENT  
CILOGER",SCI,,,,,,,0.0,,,,,,,,
ATOUT PIERRE DIVERSIFICATION,"TOUR  
PRISMA
SCI 
PLACEMENT  
CILOGER",SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,"PATRIMONIA - DESSOUS DES 
BERGES",SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,SAINT HONORE BOETIE,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,AJP94,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,MPA,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,OMEGA,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,DE MONARCH,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,SEO,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,EDRIM OPERA,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,GREENELLE,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,AMR,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,STRESEMANN,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,HOLD,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,HEKLA,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,GEORG,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,BUDLON,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,PARC AVENUE,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,MUNICH,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,EVI-DANCE,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,UBERSEERING,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,ERGAMUNDI,OPPCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,DEUTSCHLAND,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,TITAN,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,AGC,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,TRUDAINE,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,AIRS,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,POSTBOCK,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,AVILA,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,LCPD,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,ACADEMIE MONTROUGE,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,WESTBRIDGE,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,LYON,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,NOWO,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,LAHRANIS,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,GANTRAM,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,LCPD5,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,PATRIMONIA - DESSOUS DES BERGES,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,EKINOX,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,DEUTSCHLAND2018,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,AREELI,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,PATIO COEUR BOULOGNE,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,"EDRIM
 - 
 -",SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,BATIGNOLLES LOT,SCI,,,,,,,,,,,,,,,
rivoli avenir patrimoine,EDRIM,SCI,,,,,,,,,,,,,,,
