scpi_source,id_actif,nom_actif,type_actif,ville,surface_m2,valeur_venale,travaux_total,travaux_renovation,travaux_gros_entretien,travaux_mise_conformite,travaux_environnementaux,travaux_amelioration,travaux_autres,capex_par_m2,capex_sur_vv_pct,annee_travaux,description_travaux,statut_travaux,source_donnee
Rivoli Avenir Patrimoine,RIV-001,Immeuble Bordeaux Lac 1,Santé,Bordeaux Lac,4454,33511896,2875000,1239778.5843250393,614315.028580812,307204.22098379774,363457.68443113385,341813.111395513,8431.370283703665,645.4872025145936,8.579043095621925,2024.0,Remplacement système CVC,Réalisé,Actif Direct
Rivoli Avenir Patrimoine,RIV-002,Immeuble Saint-Denis 2,Activités,Saint-Denis,11355,77316195,3465126,1657501.8027288534,884523.9065051351,640927.726664201,500370.2404120583,205673.55367600964,-423871.2299862581,305.16301188903566,4.481759610648196,2024.0,Remplacement système CVC,Planifié,Actif Direct
Rivoli Avenir Patrimoine,RIV-003,Immeuble Boulogne-Billancourt 3,Bureaux,Boulogne-Billancourt,9653,53873393,459785,207738.2141372922,126928.32590903876,86344.33143487744,47872.57194252702,25761.00654679351,-34859.44997052903,47.631306329638456,0.8534546914466664,2024.0,Réfection toiture et étanchéité,En cours,Actif Direct
Rivoli Avenir Patrimoine,RIV-005,Immeuble Lyon Confluence 5,Commerces,Lyon Confluence,14528,66378432,411921,160597.72600789546,56361.08491868855,64147.038901652486,26886.97977339039,45583.530134517685,58344.6402638554,28.353593061674008,0.6205645231270301,2024.0,Mise en conformité accessibilité PMR,Planifié,Actif Direct
Rivoli Avenir Patrimoine,RIV-006,Immeuble Bordeaux Lac 6,Bureaux,Bordeaux Lac,19736,148671288,3260459,723332.6352947368,574566.39169079,430861.972140138,177401.6500845695,317963.1349348191,1036333.2158549466,165.20363802188893,2.1930656846128893,2024.0,Rénovation sanitaires,En cours,Actif Direct
Rivoli Avenir Patrimoine,RIV-008,Immeuble Paris 8ème 8,Bureaux,Paris 8ème,20936,86444744,538169,253586.85351016143,113338.10128711707,65429.922424696415,65632.52576508676,72407.11612007458,-32225.51910713623,25.70543561329767,0.6225583824969161,2024.0,Amélioration performance thermique,Planifié,Actif Direct
Rivoli Avenir Patrimoine,RIV-009,Immeuble Montpellier 9,Santé,Montpellier,8861,32661646,793483,364852.89397905173,90107.04530634751,104864.7207098907,90001.71075690059,58565.63520810388,85090.99403970559,89.54779370274235,2.429402976200281,2024.0,Rénovation sanitaires,Planifié,Actif Direct
Rivoli Avenir Patrimoine,RIV-012,Immeuble Rennes 12,Commerces,Rennes,24982,185791134,3216048,695749.9338141598,813341.1796592528,382107.11863056355,471489.8989606711,466957.2801786899,386402.58875666244,128.73460891842126,1.7310018679362815,2024.0,Mise aux normes sécurité incendie,Réalisé,Actif Direct
Rivoli Avenir Patrimoine,RIV-014,Immeuble Bordeaux Lac 14,Activités,Bordeaux Lac,21917,85783138,3120565,1274890.653770159,581313.9215947547,370821.5163186755,279932.9603537667,199145.18034440617,414460.7676182378,142.38102842542318,3.6377370573690135,2024.0,Installation bornes de recharge VE,Planifié,Actif Direct
Rivoli Avenir Patrimoine,RIV-016,Immeuble Aix-en-Provence 16,Santé,Aix-en-Provence,14265,67958460,479193,197184.94269747412,65417.18377729815,79570.53987481663,43451.19100970637,43002.62499419356,50566.517646511114,33.59221871713985,0.7051263374714495,2024.0,Mise aux normes sécurité incendie,Planifié,Actif Direct
Rivoli Avenir Patrimoine,RIV-017,Immeuble Toulouse Labège 17,Activités,Toulouse Labège,20172,66103644,2420104,494601.6272876734,410831.2162758016,302452.2553757212,315119.31327223394,317827.36722093116,579272.220567639,119.97342851477295,3.661075023337594,2024.0,Réaménagement plateaux de bureaux,En cours,Actif Direct
Rivoli Avenir Patrimoine,RIV-018,Immeuble Paris 8ème 18,Logistique,Paris 8ème,20489,104555367,2405436,1058018.8301307182,297133.78579005774,427977.28088999254,129577.75937693167,206386.21623345106,286342.127578849,117.40133730294305,2.300633692003587,2024.0,Travaux amiante et désamiantage,Planifié,Actif Direct
Rivoli Avenir Patrimoine,RIV-019,Immeuble Toulouse Blagnac 19,Bureaux,Toulouse Blagnac,17616,140188128,1079103,488470.61432093085,185259.5473865577,214839.79473544052,58929.31619260201,69624.40686883735,61979.32049563154,61.25698228882834,0.7697534844034725,2024.0,Création espaces verts et terrasses,Réalisé,Actif Direct
Rivoli Avenir Patrimoine,RIV-020,Immeuble Levallois-Perret 20,Bureaux,Levallois-Perret,14476,44166276,2612760,538472.4031236947,638334.9955866032,316718.23127406935,184488.1949482551,193733.52086035846,741012.654207019,180.4890853827024,5.915735345221318,2024.0,Remplacement système CVC,Planifié,Actif Direct
Aestiam Placement Pierre,AES-003,Immeuble Neuilly-sur-Seine 3,Logistique,Neuilly-sur-Seine,10795,85938995,764224,214207.099069817,159129.7321748873,138357.38744950332,101765.77262616683,94797.42047474731,55966.58820487829,70.7942566002779,0.8892633664147458,2024.0,Amélioration performance thermique,Réalisé,Actif Direct
Aestiam Placement Pierre,AES-007,Immeuble Bordeaux Euratlantique 7,Logistique,Bordeaux Euratlantique,17526,132198618,1874041,566927.4322168995,254940.82619140422,188414.96916957328,128227.7773077945,240124.23159208603,495405.76352224237,106.92919091635285,1.4175950008796612,2024.0,Installation bornes de recharge VE,En cours,Actif Direct
Aestiam Placement Pierre,AES-008,Immeuble Levallois-Perret 8,Bureaux,Levallois-Perret,9190,67941670,2569308,1045471.7853278846,427199.6815110212,327505.61580170103,307917.4810280793,140180.29059015375,321033.14574115997,279.5764961915125,3.781637984465204,2024.0,Réaménagement plateaux de bureaux,En cours,Actif Direct
Aestiam Placement Pierre,AES-012,Immeuble Issy-les-Moulineaux 12,Bureaux,Issy-les-Moulineaux,3238,16662748,2070557,859977.7262511768,389913.8428378039,353880.73317839863,245378.91551688808,281079.3567662482,-59673.574550515325,639.4555281037677,12.42626366311247,2024.0,Remplacement système CVC,En cours,Actif Direct
Aestiam Placement Pierre,AES-015,Immeuble Rennes 15,Bureaux,Rennes,16968,122322312,2108655,1033781.4257107893,233933.6267293698,228752.03653215442,163036.98040360265,148746.86084963207,300404.0697744521,124.27245403111739,1.7238514916232124,2024.0,Rénovation parties communes,Planifié,Actif Direct
Aestiam Placement Pierre,AES-016,Immeuble Bordeaux Euratlantique 16,Logistique,Bordeaux Euratlantique,21559,112365508,2396755,866053.0718077833,323998.11056706245,240502.1939247708,131431.5567186577,274665.6926667302,560104.3743149955,111.17190036643629,2.1329988558410644,2024.0,Modernisation ascenseurs,En cours,Actif Direct
Aestiam Placement Pierre,AES-017,Immeuble La Défense 17,Santé,La Défense,23105,148357205,297269,116179.10634007113,82497.61393192736,57256.48650818303,26220.638385202685,33911.47846424107,-18796.32362962524,12.866003029647262,0.20037382073893883,2024.0,Remplacement système CVC,Réalisé,Actif Direct
Aestiam Placement Pierre,AES-020,Immeuble Toulouse Labège 20,Commerces,Toulouse Labège,9531,54650754,2636073,598684.705766605,660314.5855539187,520028.732908893,241074.48589668152,140856.95757303495,475113.53230086673,276.5788479697828,4.823488803100503,2024.0,Rénovation sanitaires,Réalisé,Actif Direct
Aestiam Placement Pierre,AES-021,Immeuble Strasbourg 21,Santé,Strasbourg,18976,93741440,2254205,694911.9194527406,417309.9481573016,428143.4113811848,272717.87501316157,123896.39298578321,317225.45300982817,118.79242200674537,2.404704898921971,2024.0,Amélioration performance thermique,Planifié,Actif Direct
Aestiam Placement Pierre,AES-025,Immeuble Levallois-Perret 25,Activités,Levallois-Perret,10088,75962640,913960,373887.3600917662,216514.7546343532,108226.91692686781,85648.3215046068,88955.98446971882,40726.662372687235,90.59873116574147,1.2031704006074566,2024.0,Mise aux normes sécurité incendie,Planifié,Actif Direct
Aestiam Placement Pierre,AES-026,Immeuble Nice 26,Santé,Nice,16481,89541273,289795,121238.00501989134,71234.2502638981,34287.01430803501,37738.879765529025,21189.963100016008,4106.887542630508,17.583581093380257,0.32364404736573266,2024.0,Rénovation énergétique - mise aux normes RT2020,Planifié,Actif Direct
