scpi_source,id_actif,nom_actif,adresse,ville,code_postal,pays,region,type_actif,date_acquisition,surface_m2,nb_lots,quote_part_pct,valeur_venale,prix_acquisition,loyer_annuel,taux_occupation,nb_locataires,date_fin_bail_principale,travaux_total,travaux_renovation,travaux_gros_entretien,travaux_mise_conformite,travaux_environnementaux,travaux_amelioration,travaux_autres,annee_travaux,description_travaux,statut_travaux
Rivoli Avenir Patrimoine,RIV-001,Immeuble Bordeaux Lac 1,44 avenue de la République,Bordeaux Lac,33300,France,Nouvelle-Aquitaine,Santé,2022-11-01,4454,,100.0,33511896,30027015.93110026,1703977.1180656645,95.75620844366803,3,,2875000,1239778.5843250393,614315.028580812,307204.22098379774,363457.68443113385,341813.111395513,8431.370283703665,2024.0,Remplacement système CVC,Réalisé
Rivoli Avenir Patrimoine,RIV-002,Immeuble Saint-Denis 2,1 rue Victor Hugo,Saint-Denis,93200,France,Île-de-France,Activités,2012-11-01,11355,,100.0,77316195,69419176.9883471,4724415.428709503,94.15697258508528,7,,3465126,1657501.8027288534,884523.9065051351,640927.726664201,500370.2404120583,205673.55367600964,-423871.2299862581,2024.0,Remplacement système CVC,Planifié
Rivoli Avenir Patrimoine,RIV-003,Immeuble Boulogne-Billancourt 3,2 rue Jean Jaurès,Boulogne-Billancourt,92100,France,Île-de-France,Bureaux,2012-01-01,9653,,100.0,53873393,54003522.31908543,2444922.7524379203,89.09498725949786,1,,459785,207738.2141372922,126928.32590903876,86344.33143487744,47872.57194252702,25761.00654679351,-34859.44997052903,2024.0,Réfection toiture et étanchéité,En cours
Rivoli Avenir Patrimoine,RIV-004,Immeuble Lille Euralille 4,36 rue Jean Jaurès,Lille Euralille,59000,France,Hauts-de-France,Activités,2019-06-01,20696,,100.0,148162664,133911120.96090142,9052080.232690644,97.51594230623219,14,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Rivoli Avenir Patrimoine,RIV-005,Immeuble Lyon Confluence 5,114 boulevard de la Paix,Lyon Confluence,69002,France,Auvergne-Rhône-Alpes,Commerces,2016-01-01,14528,,100.0,66378432,62635201.02786982,3858065.3145318776,92.93144584896898,3,,411921,160597.72600789546,56361.08491868855,64147.038901652486,26886.97977339039,45583.530134517685,58344.6402638554,2024.0,Mise en conformité accessibilité PMR,Planifié
Rivoli Avenir Patrimoine,RIV-006,Immeuble Bordeaux Lac 6,98 avenue Général de Gaulle,Bordeaux Lac,33300,France,Nouvelle-Aquitaine,Bureaux,2013-06-01,19736,,100.0,148671288,155981299.92125776,9312877.148877572,96.87821461163001,2,,3260459,723332.6352947368,574566.39169079,430861.972140138,177401.6500845695,317963.1349348191,1036333.2158549466,2024.0,Rénovation sanitaires,En cours
Rivoli Avenir Patrimoine,RIV-007,Immeuble Lille Euralille 7,14 avenue de la République,Lille Euralille,59000,France,Hauts-de-France,Santé,2017-08-01,8894,,100.0,64686062,58067738.6657294,3430543.601363123,93.67960800074455,6,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Rivoli Avenir Patrimoine,RIV-008,Immeuble Paris 8ème 8,126 rue Jean Jaurès,Paris 8ème,75008,France,Paris,Bureaux,2020-12-01,20936,,100.0,86444744,77070254.78422506,4024689.893248435,90.7269241026655,12,,538169,253586.85351016143,113338.10128711707,65429.922424696415,65632.52576508676,72407.11612007458,-32225.51910713623,2024.0,Amélioration performance thermique,Planifié
Rivoli Avenir Patrimoine,RIV-009,Immeuble Montpellier 9,66 boulevard Victor Hugo,Montpellier,34000,France,Occitanie,Santé,2014-05-01,8861,,100.0,32661646,28808579.50273923,1898214.627122784,99.91045008158535,13,,793483,364852.89397905173,90107.04530634751,104864.7207098907,90001.71075690059,58565.63520810388,85090.99403970559,2024.0,Rénovation sanitaires,Planifié
Rivoli Avenir Patrimoine,RIV-010,Immeuble Boulogne-Billancourt 10,105 avenue Victor Hugo,Boulogne-Billancourt,92100,France,Île-de-France,Commerces,2016-09-01,21331,,100.0,135963794,131931907.51549189,8582567.520920344,94.15472219704036,14,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Rivoli Avenir Patrimoine,RIV-011,Immeuble Levallois-Perret 11,55 rue Général de Gaulle,Levallois-Perret,92300,France,Île-de-France,Bureaux,2018-01-01,16069,,100.0,72471190,72114668.72960187,3671364.446739288,97.31523320119834,4,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Rivoli Avenir Patrimoine,RIV-012,Immeuble Rennes 12,109 boulevard Jean Jaurès,Rennes,35000,France,Bretagne,Commerces,2019-11-01,24982,,100.0,185791134,183630478.88069904,9103291.06440309,95.23639739211504,1,,3216048,695749.9338141598,813341.1796592528,382107.11863056355,471489.8989606711,466957.2801786899,386402.58875666244,2024.0,Mise aux normes sécurité incendie,Réalisé
Rivoli Avenir Patrimoine,RIV-013,Immeuble Toulouse Blagnac 13,100 rue Général de Gaulle,Toulouse Blagnac,31700,France,Occitanie,Santé,2017-09-01,16280,,100.0,56605560,56009769.561720826,2648073.4602901754,94.95819906963224,9,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Rivoli Avenir Patrimoine,RIV-014,Immeuble Bordeaux Lac 14,65 boulevard de la République,Bordeaux Lac,33300,France,Nouvelle-Aquitaine,Activités,2011-10-01,21917,,100.0,85783138,87275159.04127309,4435384.4970620135,85.35376305310051,2,,3120565,1274890.653770159,581313.9215947547,370821.5163186755,279932.9603537667,199145.18034440617,414460.7676182378,2024.0,Installation bornes de recharge VE,Planifié
Rivoli Avenir Patrimoine,RIV-015,Immeuble Neuilly-sur-Seine 15,55 avenue Victor Hugo,Neuilly-sur-Seine,92200,France,Île-de-France,Commerces,2023-02-01,24754,,100.0,82480328,79532617.58844456,4800986.017329533,86.93631972367332,12,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Rivoli Avenir Patrimoine,RIV-016,Immeuble Aix-en-Provence 16,101 rue Victor Hugo,Aix-en-Provence,13100,France,Provence-Alpes-Côte d'Azur,Santé,2023-02-01,14265,,100.0,67958460,62693112.24517323,4242339.940843882,86.28673258380974,13,,479193,197184.94269747412,65417.18377729815,79570.53987481663,43451.19100970637,43002.62499419356,50566.517646511114,2024.0,Mise aux normes sécurité incendie,Planifié
Rivoli Avenir Patrimoine,RIV-017,Immeuble Toulouse Labège 17,33 rue de la République,Toulouse Labège,31670,France,Occitanie,Activités,2018-01-01,20172,,100.0,66103644,61302271.17902705,4278779.548026369,98.53122878650129,11,,2420104,494601.6272876734,410831.2162758016,302452.2553757212,315119.31327223394,317827.36722093116,579272.220567639,2024.0,Réaménagement plateaux de bureaux,En cours
Rivoli Avenir Patrimoine,RIV-018,Immeuble Paris 8ème 18,125 avenue Général de Gaulle,Paris 8ème,75008,France,Paris,Logistique,2011-11-01,20489,,100.0,104555367,96517665.52353631,5211416.733024861,88.32770239300636,10,,2405436,1058018.8301307182,297133.78579005774,427977.28088999254,129577.75937693167,206386.21623345106,286342.127578849,2024.0,Travaux amiante et désamiantage,Planifié
Rivoli Avenir Patrimoine,RIV-019,Immeuble Toulouse Blagnac 19,1 rue Général de Gaulle,Toulouse Blagnac,31700,France,Occitanie,Bureaux,2016-04-01,17616,,100.0,140188128,147047980.92387265,8658788.181703003,92.69805712181659,12,,1079103,488470.61432093085,185259.5473865577,214839.79473544052,58929.31619260201,69624.40686883735,61979.32049563154,2024.0,Création espaces verts et terrasses,Réalisé
Rivoli Avenir Patrimoine,RIV-020,Immeuble Levallois-Perret 20,133 rue Jean Jaurès,Levallois-Perret,92300,France,Île-de-France,Bureaux,2022-08-01,14476,,100.0,44166276,39026332.96270484,2512586.4527958008,99.9512949132476,14,,2612760,538472.4031236947,638334.9955866032,316718.23127406935,184488.1949482551,193733.52086035846,741012.654207019,2024.0,Remplacement système CVC,Planifié
Rivoli Avenir Patrimoine,RIV-021,Immeuble Rennes 21,19 avenue Général de Gaulle,Rennes,35000,France,Bretagne,Bureaux,2019-08-01,11116,,100.0,54935272,48465180.64903947,2715694.6149928793,95.42645533662451,14,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Rivoli Avenir Patrimoine,RIV-022,Immeuble La Défense 22,53 boulevard de la Paix,La Défense,92800,France,Île-de-France,Activités,2011-06-01,19903,,100.0,116293229,108758592.3455681,7279588.538011787,93.80284568708491,4,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Aestiam Placement Pierre,AES-001,Immeuble Saint-Denis 1,111 boulevard Général de Gaulle,Saint-Denis,93200,France,Île-de-France,Logistique,2020-09-01,16516,,100.0,72637368,62875953.62515039,4215262.2548548,92.43442155231348,10,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Aestiam Placement Pierre,AES-002,Immeuble Aix-en-Provence 2,118 boulevard Général de Gaulle,Aix-en-Provence,13100,France,Provence-Alpes-Côte d'Azur,Santé,2010-11-01,20521,,100.0,163757580,144695546.14272058,9364508.814387541,88.90724329641779,12,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Aestiam Placement Pierre,AES-003,Immeuble Neuilly-sur-Seine 3,45 avenue Jean Jaurès,Neuilly-sur-Seine,92200,France,Île-de-France,Logistique,2012-01-01,10795,,100.0,85938995,82151957.77871695,4462735.873712339,88.80249727128464,9,,764224,214207.099069817,159129.7321748873,138357.38744950332,101765.77262616683,94797.42047474731,55966.58820487829,2024.0,Amélioration performance thermique,Réalisé
Aestiam Placement Pierre,AES-004,Immeuble Toulouse Blagnac 4,39 boulevard Jean Jaurès,Toulouse Blagnac,31700,France,Occitanie,Bureaux,2020-11-01,16157,,100.0,85098919,78904073.66215557,4168562.2618048214,95.84321886506108,5,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Aestiam Placement Pierre,AES-005,Immeuble Toulouse Blagnac 5,22 boulevard Jean Jaurès,Toulouse Blagnac,31700,France,Occitanie,Logistique,2021-09-01,5881,,100.0,27064362,27098492.249640413,1461649.9893505753,93.29914690640676,15,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Aestiam Placement Pierre,AES-006,Immeuble Saint-Denis 6,74 avenue de la Paix,Saint-Denis,93200,France,Île-de-France,Logistique,2011-05-01,21389,,100.0,98218288,92593755.3325644,6209283.623341189,85.19141101187927,15,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Aestiam Placement Pierre,AES-007,Immeuble Bordeaux Euratlantique 7,85 boulevard Victor Hugo,Bordeaux Euratlantique,33000,France,Nouvelle-Aquitaine,Logistique,2012-01-01,17526,,100.0,132198618,117528402.53631549,6079061.283536194,91.12088684854466,14,,1874041,566927.4322168995,254940.82619140422,188414.96916957328,128227.7773077945,240124.23159208603,495405.76352224237,2024.0,Installation bornes de recharge VE,En cours
Aestiam Placement Pierre,AES-008,Immeuble Levallois-Perret 8,45 boulevard Jean Jaurès,Levallois-Perret,92300,France,Île-de-France,Bureaux,2021-02-01,9190,,100.0,67941670,62747526.95403548,3856373.1660180143,99.96654586742521,10,,2569308,1045471.7853278846,427199.6815110212,327505.61580170103,307917.4810280793,140180.29059015375,321033.14574115997,2024.0,Réaménagement plateaux de bureaux,En cours
